learner_id,condition,previous_difficulty,new_difficulty,action_type,reason,engagement_level,timestamp
ADAPT-002,adaptive,7,7,maintain,"Performance: 55.6%, Engagement: 70",medium,2026-01-21T07:21:36.501370
ADAPT-002,adaptive,7,7,maintain,"Performance: 50.0%, Engagement: 54",medium,2026-01-21T07:21:39.920289
ADAPT-003,adaptive,5,6,increase,"Performance: 100.0%, Engagement: 93",high,2026-01-21T07:21:07.220208
ADAPT-003,adaptive,6,6,maintain,"Performance: 50.0%, Engagement: 74",high,2026-01-21T07:21:09.969627
ADAPT-003,adaptive,6,6,maintain,"Performance: 66.7%, Engagement: 82",high,2026-01-21T07:21:14.515714
ADAPT-003,adaptive,6,6,maintain,"Performance: 50.0%, Engagement: 67",medium,2026-01-21T07:21:18.605489
ADAPT-003,adaptive,6,6,maintain,"Performance: 40.0%, Engagement: 48",medium,2026-01-21T07:21:22.232075
ADAPT-003,adaptive,6,6,maintain,"Performance: 50.0%, Engagement: 60",medium,2026-01-21T07:21:24.437639
ADAPT-003,adaptive,6,6,maintain,"Performance: 42.9%, Engagement: 46",medium,2026-01-21T07:21:27.695314
ADAPT-003,adaptive,6,5,decrease,"Performance: 37.5%, Engagement: 21",low,2026-01-21T07:21:32.482369
ADAPT-003,adaptive,5,5,maintain,"Performance: 44.4%, Engagement: 33",low,2026-01-21T07:21:35.529396
ADAPT-003,adaptive,5,3,decrease,"Performance: 40.0%, Engagement: 22",low,2026-01-21T07:21:39.193203
ADAPT-004,adaptive,5,5,maintain,"Performance: 0.0%, Engagement: 51",medium,2026-01-21T07:21:07.221135
ADAPT-004,adaptive,5,5,maintain,"Performance: 50.0%, Engagement: 58",medium,2026-01-21T07:21:10.221805
ADAPT-004,adaptive,5,5,maintain,"Performance: 66.7%, Engagement: 72",high,2026-01-21T07:21:15.056958
ADAPT-004,adaptive,5,5,maintain,"Performance: 50.0%, Engagement: 52",medium,2026-01-21T07:21:17.687188
ADAPT-004,adaptive,5,5,maintain,"Performance: 60.0%, Engagement: 60",medium,2026-01-21T07:21:20.397400
ADAPT-004,adaptive,5,5,maintain,"Performance: 66.7%, Engagement: 65",medium,2026-01-21T07:21:24.759524
ADAPT-004,adaptive,5,5,maintain,"Performance: 57.1%, Engagement: 46",medium,2026-01-21T07:21:27.338913
ADAPT-004,adaptive,5,5,maintain,"Performance: 50.0%, Engagement: 24",low,2026-01-21T07:21:29.684938
ADAPT-004,adaptive,5,5,maintain,"Performance: 55.6%, Engagement: 33",low,2026-01-21T07:21:32.625970
ADAPT-004,adaptive,5,5,maintain,"Performance: 60.0%, Engagement: 43",medium,2026-01-21T07:21:34.835891
ADAPT-005,adaptive,5,6,increase,"Performance: 100.0%, Engagement: 94",high,2026-01-21T07:21:07.223746
ADAPT-005,adaptive,6,6,maintain,"Performance: 50.0%, Engagement: 78",high,2026-01-21T07:21:11.724922
ADAPT-005,adaptive,6,5,decrease,"Performance: 33.3%, Engagement: 47",medium,2026-01-21T07:21:15.258444
ADAPT-005,adaptive,5,5,maintain,"Performance: 50.0%, Engagement: 57",medium,2026-01-21T07:21:17.932366
ADAPT-005,adaptive,5,5,maintain,"Performance: 40.0%, Engagement: 48",medium,2026-01-21T07:21:20.664319
ADAPT-005,adaptive,5,4,decrease,"Performance: 33.3%, Engagement: 4",low,2026-01-21T07:21:23.411914
ADAPT-006,adaptive,5,6,increase,"Performance: 100.0%, Engagement: 95",high,2026-01-21T07:21:07.224356
ADAPT-006,adaptive,6,7,increase,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:11.479686
ADAPT-006,adaptive,7,8,increase,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:14.336870
ADAPT-006,adaptive,8,8,maintain,"Performance: 75.0%, Engagement: 82",high,2026-01-21T07:21:17.329514
ADAPT-006,adaptive,8,9,increase,"Performance: 80.0%, Engagement: 92",high,2026-01-21T07:21:21.626298
ADAPT-006,adaptive,9,9,maintain,"Performance: 66.7%, Engagement: 73",high,2026-01-21T07:21:24.445104
ADAPT-006,adaptive,9,9,maintain,"Performance: 57.1%, Engagement: 64",medium,2026-01-21T07:21:29.387270
ADAPT-006,adaptive,9,9,maintain,"Performance: 50.0%, Engagement: 53",medium,2026-01-21T07:21:32.524582
ADAPT-006,adaptive,9,9,maintain,"Performance: 44.4%, Engagement: 34",low,2026-01-21T07:21:34.770301
ADAPT-006,adaptive,9,9,maintain,"Performance: 50.0%, Engagement: 43",medium,2026-01-21T07:21:37.368383
ADAPT-007,adaptive,5,4,decrease,"Performance: 0.0%, Engagement: 41",medium,2026-01-21T07:21:07.225181
ADAPT-007,adaptive,4,3,decrease,"Performance: 0.0%, Engagement: 17",low,2026-01-21T07:21:10.952571
ADAPT-007,adaptive,3,2,decrease,"Performance: 33.3%, Engagement: 7",low,2026-01-21T07:21:15.270014
ADAPT-007,adaptive,2,2,maintain,"Performance: 50.0%, Engagement: 19",low,2026-01-21T07:21:19.212644
ADAPT-007,adaptive,2,2,maintain,"Performance: 60.0%, Engagement: 28",low,2026-01-21T07:21:22.519105
ADAPT-007,adaptive,2,2,maintain,"Performance: 66.7%, Engagement: 36",low,2026-01-21T07:21:25.255591
ADAPT-007,adaptive,2,2,maintain,"Performance: 71.4%, Engagement: 46",medium,2026-01-21T07:21:28.738511
ADAPT-007,adaptive,2,2,maintain,"Performance: 75.0%, Engagement: 56",medium,2026-01-21T07:21:31.311680
ADAPT-007,adaptive,2,2,maintain,"Performance: 77.8%, Engagement: 64",medium,2026-01-21T07:21:33.363410
ADAPT-007,adaptive,2,2,maintain,"Performance: 80.0%, Engagement: 71",high,2026-01-21T07:21:36.724646
ADAPT-008,adaptive,5,4,decrease,"Performance: 0.0%, Engagement: 50",medium,2026-01-21T07:21:07.226201
ADAPT-008,adaptive,4,3,decrease,"Performance: 0.0%, Engagement: 19",low,2026-01-21T07:21:09.268646
ADAPT-008,adaptive,3,2,decrease,"Performance: 33.3%, Engagement: 17",low,2026-01-21T07:21:13.527023
ADAPT-008,adaptive,2,2,maintain,"Performance: 50.0%, Engagement: 32",low,2026-01-21T07:21:16.729145
ADAPT-008,adaptive,2,1,decrease,"Performance: 40.0%, Engagement: 21",low,2026-01-21T07:21:19.084500
ADAPT-008,adaptive,1,1,decrease,"Performance: 33.3%, Engagement: 0",low,2026-01-21T07:21:22.947582
ADAPT-009,adaptive,5,6,increase,"Performance: 100.0%, Engagement: 91",high,2026-01-21T07:21:07.226779
ADAPT-009,adaptive,6,6,maintain,"Performance: 50.0%, Engagement: 70",medium,2026-01-21T07:21:09.927050
ADAPT-009,adaptive,6,6,maintain,"Performance: 66.7%, Engagement: 82",high,2026-01-21T07:21:14.652284
ADAPT-009,adaptive,6,7,increase,"Performance: 75.0%, Engagement: 93",high,2026-01-21T07:21:18.751485
ADAPT-009,adaptive,7,7,maintain,"Performance: 60.0%, Engagement: 79",high,2026-01-21T07:21:20.829080
ADAPT-009,adaptive,7,7,maintain,"Performance: 66.7%, Engagement: 89",high,2026-01-21T07:21:24.783608
ADAPT-009,adaptive,7,8,increase,"Performance: 71.4%, Engagement: 95",high,2026-01-21T07:21:28.008652
ADAPT-009,adaptive,8,8,maintain,"Performance: 62.5%, Engagement: 76",high,2026-01-21T07:21:30.765849
ADAPT-009,adaptive,8,8,maintain,"Performance: 55.6%, Engagement: 57",medium,2026-01-21T07:21:34.321167
ADAPT-009,adaptive,8,8,maintain,"Performance: 60.0%, Engagement: 54",medium,2026-01-21T07:21:39.240607
ADAPT-010,adaptive,5,6,increase,"Performance: 100.0%, Engagement: 82",high,2026-01-21T07:21:07.227655
ADAPT-010,adaptive,6,6,maintain,"Performance: 50.0%, Engagement: 65",medium,2026-01-21T07:21:10.881450
ADAPT-010,adaptive,6,6,maintain,"Performance: 66.7%, Engagement: 74",high,2026-01-21T07:21:15.444687
ADAPT-010,adaptive,6,6,maintain,"Performance: 50.0%, Engagement: 55",medium,2026-01-21T07:21:19.100439
ADAPT-010,adaptive,6,6,maintain,"Performance: 40.0%, Engagement: 46",medium,2026-01-21T07:21:22.332764
ADAPT-010,adaptive,6,5,decrease,"Performance: 33.3%, Engagement: 12",low,2026-01-21T07:21:27.228825
NONADAPT-001,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:07.228219
NONADAPT-001,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:11.108617
NONADAPT-001,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:15.348916
NONADAPT-001,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:17.517274
NONADAPT-001,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:19.754179
NONADAPT-001,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:24.450905
NONADAPT-001,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:27.723832
NONADAPT-001,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:30.609524
NONADAPT-001,non-adaptive,5,5,maintain,"Performance: 88.9%, Engagement: 94",high,2026-01-21T07:21:34.845040
NONADAPT-001,non-adaptive,5,5,maintain,"Performance: 90.0%, Engagement: 100",high,2026-01-21T07:21:39.007825
NONADAPT-002,non-adaptive,5,5,maintain,"Performance: 0.0%, Engagement: 46",medium,2026-01-21T07:21:07.229079
NONADAPT-002,non-adaptive,5,5,maintain,"Performance: 0.0%, Engagement: 13",low,2026-01-21T07:21:11.969540
NONADAPT-002,non-adaptive,5,5,maintain,"Performance: 33.3%, Engagement: 4",low,2026-01-21T07:21:15.374534
NONADAPT-002,non-adaptive,5,5,maintain,"Performance: 50.0%, Engagement: 17",low,2026-01-21T07:21:18.558258
NONADAPT-002,non-adaptive,5,5,maintain,"Performance: 60.0%, Engagement: 28",low,2026-01-21T07:21:23.379134
NONADAPT-002,non-adaptive,5,5,maintain,"Performance: 66.7%, Engagement: 35",low,2026-01-21T07:21:26.771937
NONADAPT-002,non-adaptive,5,5,maintain,"Performance: 71.4%, Engagement: 48",medium,2026-01-21T07:21:29.476337
NONADAPT-002,non-adaptive,5,5,maintain,"Performance: 62.5%, Engagement: 35",low,2026-01-21T07:21:33.441103
NONADAPT-002,non-adaptive,5,5,maintain,"Performance: 55.6%, Engagement: 16",low,2026-01-21T07:21:38.292769
NONADAPT-002,non-adaptive,5,5,maintain,"Performance: 60.0%, Engagement: 28",low,2026-01-21T07:21:43.139801
NONADAPT-003,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 98",high,2026-01-21T07:21:07.229735
NONADAPT-003,non-adaptive,5,5,maintain,"Performance: 50.0%, Engagement: 82",high,2026-01-21T07:21:11.017680
NONADAPT-003,non-adaptive,5,5,maintain,"Performance: 66.7%, Engagement: 92",high,2026-01-21T07:21:13.095020
NONADAPT-003,non-adaptive,5,5,maintain,"Performance: 50.0%, Engagement: 76",high,2026-01-21T07:21:17.429071
NONADAPT-003,non-adaptive,5,5,maintain,"Performance: 60.0%, Engagement: 82",high,2026-01-21T07:21:19.522523
NONADAPT-003,non-adaptive,5,5,maintain,"Performance: 50.0%, Engagement: 68",medium,2026-01-21T07:21:22.347571
NONADAPT-003,non-adaptive,5,5,maintain,"Performance: 42.9%, Engagement: 55",medium,2026-01-21T07:21:25.638169
NONADAPT-003,non-adaptive,5,5,maintain,"Performance: 37.5%, Engagement: 31",low,2026-01-21T07:21:30.120427
NONADAPT-003,non-adaptive,5,5,maintain,"Performance: 33.3%, Engagement: 0",low,2026-01-21T07:21:34.615743
NONADAPT-004,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 94",high,2026-01-21T07:21:07.230368
NONADAPT-004,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:10.964124
NONADAPT-004,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:15.887764
NONADAPT-004,non-adaptive,5,5,maintain,"Performance: 75.0%, Engagement: 91",high,2026-01-21T07:21:18.707575
NONADAPT-004,non-adaptive,5,5,maintain,"Performance: 80.0%, Engagement: 100",high,2026-01-21T07:21:22.299023
NONADAPT-004,non-adaptive,5,5,maintain,"Performance: 83.3%, Engagement: 100",high,2026-01-21T07:21:24.765763
NONADAPT-004,non-adaptive,5,5,maintain,"Performance: 71.4%, Engagement: 92",high,2026-01-21T07:21:27.098432
NONADAPT-004,non-adaptive,5,5,maintain,"Performance: 75.0%, Engagement: 100",high,2026-01-21T07:21:30.002690
NONADAPT-004,non-adaptive,5,5,maintain,"Performance: 66.7%, Engagement: 82",high,2026-01-21T07:21:34.502753
NONADAPT-004,non-adaptive,5,5,maintain,"Performance: 70.0%, Engagement: 95",high,2026-01-21T07:21:38.230030
NONADAPT-005,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 87",high,2026-01-21T07:21:07.231039
NONADAPT-005,non-adaptive,5,5,maintain,"Performance: 50.0%, Engagement: 77",high,2026-01-21T07:21:09.895755
NONADAPT-005,non-adaptive,5,5,maintain,"Performance: 33.3%, Engagement: 35",low,2026-01-21T07:21:12.335088
NONADAPT-005,non-adaptive,5,5,maintain,"Performance: 25.0%, Engagement: 1",low,2026-01-21T07:21:16.614719
NONADAPT-005,non-adaptive,5,5,maintain,"Performance: 20.0%, Engagement: 0",low,2026-01-21T07:21:20.021482
NONADAPT-005,non-adaptive,5,5,maintain,"Performance: 16.7%, Engagement: 0",low,2026-01-21T07:21:24.516572
NONADAPT-006,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 98",high,2026-01-21T07:21:07.231568
NONADAPT-006,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:11.743700
NONADAPT-006,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:16.497510
NONADAPT-006,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:18.781028
NONADAPT-006,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:21.711723
NONADAPT-006,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:24.697153
NONADAPT-006,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:27.623751
NONADAPT-006,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:32.157036
NONADAPT-006,non-adaptive,5,5,maintain,"Performance: 88.9%, Engagement: 90",high,2026-01-21T07:21:34.699574
NONADAPT-006,non-adaptive,5,5,maintain,"Performance: 90.0%, Engagement: 100",high,2026-01-21T07:21:38.531360
NONADAPT-007,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 98",high,2026-01-21T07:21:07.232373
NONADAPT-007,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:11.636151
NONADAPT-007,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:15.925501
NONADAPT-007,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:20.579390
NONADAPT-007,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:25.096919
NONADAPT-007,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:28.504249
NONADAPT-007,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:31.219568
NONADAPT-007,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:34.944710
NONADAPT-007,non-adaptive,5,5,maintain,"Performance: 88.9%, Engagement: 90",high,2026-01-21T07:21:38.522888
NONADAPT-007,non-adaptive,5,5,maintain,"Performance: 90.0%, Engagement: 100",high,2026-01-21T07:21:41.283839
NONADAPT-008,non-adaptive,5,5,maintain,"Performance: 0.0%, Engagement: 44",medium,2026-01-21T07:21:07.233233
NONADAPT-008,non-adaptive,5,5,maintain,"Performance: 50.0%, Engagement: 55",medium,2026-01-21T07:21:11.667726
NONADAPT-008,non-adaptive,5,5,maintain,"Performance: 33.3%, Engagement: 21",low,2026-01-21T07:21:16.635094
NONADAPT-008,non-adaptive,5,5,maintain,"Performance: 25.0%, Engagement: 0",low,2026-01-21T07:21:19.630868
NONADAPT-008,non-adaptive,5,5,maintain,"Performance: 40.0%, Engagement: 8",low,2026-01-21T07:21:22.732909
NONADAPT-008,non-adaptive,5,5,maintain,"Performance: 33.3%, Engagement: 0",low,2026-01-21T07:21:24.973116
NONADAPT-009,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:07.233929
NONADAPT-009,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:09.662267
NONADAPT-009,non-adaptive,5,5,maintain,"Performance: 66.7%, Engagement: 89",high,2026-01-21T07:21:14.508738
NONADAPT-009,non-adaptive,5,5,maintain,"Performance: 75.0%, Engagement: 100",high,2026-01-21T07:21:16.849084
NONADAPT-009,non-adaptive,5,5,maintain,"Performance: 80.0%, Engagement: 100",high,2026-01-21T07:21:21.844971
NONADAPT-009,non-adaptive,5,5,maintain,"Performance: 66.7%, Engagement: 82",high,2026-01-21T07:21:26.747655
NONADAPT-009,non-adaptive,5,5,maintain,"Performance: 71.4%, Engagement: 96",high,2026-01-21T07:21:30.273922
NONADAPT-009,non-adaptive,5,5,maintain,"Performance: 75.0%, Engagement: 100",high,2026-01-21T07:21:33.928863
NONADAPT-009,non-adaptive,5,5,maintain,"Performance: 77.8%, Engagement: 100",high,2026-01-21T07:21:36.879946
NONADAPT-009,non-adaptive,5,5,maintain,"Performance: 70.0%, Engagement: 76",high,2026-01-21T07:21:39.267045
NONADAPT-010,non-adaptive,5,5,maintain,"Performance: 100.0%, Engagement: 95",high,2026-01-21T07:21:07.234936
NONADAPT-010,non-adaptive,5,5,maintain,"Performance: 50.0%, Engagement: 86",high,2026-01-21T07:21:09.740844
NONADAPT-010,non-adaptive,5,5,maintain,"Performance: 66.7%, Engagement: 96",high,2026-01-21T07:21:14.586485
NONADAPT-010,non-adaptive,5,5,maintain,"Performance: 75.0%, Engagement: 100",high,2026-01-21T07:21:18.467977
NONADAPT-010,non-adaptive,5,5,maintain,"Performance: 80.0%, Engagement: 100",high,2026-01-21T07:21:21.714842
NONADAPT-010,non-adaptive,5,5,maintain,"Performance: 66.7%, Engagement: 89",high,2026-01-21T07:21:24.826463
NONADAPT-010,non-adaptive,5,5,maintain,"Performance: 57.1%, Engagement: 70",high,2026-01-21T07:21:29.422386
NONADAPT-010,non-adaptive,5,5,maintain,"Performance: 62.5%, Engagement: 78",high,2026-01-21T07:21:32.914497
NONADAPT-010,non-adaptive,5,5,maintain,"Performance: 66.7%, Engagement: 89",high,2026-01-21T07:21:34.939029
NONADAPT-010,non-adaptive,5,5,maintain,"Performance: 60.0%, Engagement: 71",high,2026-01-21T07:21:37.522995
